label_0,label_1,custom_id,document,label_2
0.0,2.0,1269431928295391232,De domste tweet reactie vandaag was toch wel van iemand die mij verweet het goed te keuren dat bij protesten in Amerika een blanke politieagent door zwarte betogers in brand was gestoken.   Waarom doen mensen hun huiswerk zo slecht?!,2.0
0.0,2.0,1269436899304726528,Je mag zelf wel even bellen want je ziet er echt niet goed uit helemaal wit ik denk dat je last hebt van corona je moet snel een vaccin hebben eentje waarvan je de waarheid verteld aan de burger en zegt o sorry ik heb het allemaal verkeerd gedaan.,2.0
0.0,2.0,1269443600754057216,vraag me beetje af wat de tokkies hadden verzonnen als argument tegen de protesten als corona er niet was? mijn gok is hebben die mensen niks beters te doen ze moeten werk zoeken maar met tokkies weet je het nooit. kan net zo goed boselfjes zijn.,0.0
0.0,0.0,1269469501571117056,@verwilderd @EJBron2 wordt  moe van die protesten. 80% van die zwarten die eraan meedoen interesseert het geen moer dat ie dood is. het is voor hun een  gelegenheid om winkels leeg te roven en vernielingen aan te richten.als je met 5 nike dozen onder je arm loopt  ben je gewoon een ordinaire dief,0.0
0.0,2.0,1269504684429058048,@NUnl Mischien weten hun in america meer wand valt me op dat er ook blanken mee lopen mischien is er uitgekomen dat corona toch allemaal een groot leugen is en dat dit mischien hier ook gaat gebeuren,2.0
0.0,0.0,1269505347531739136,@KimBoon94 Ik hoop dat die gl trut een schop onder haar reet krijgt netjes gezegd en nergens meer aan de bak komt en van een bijstandsuitkering kan gaan leven wat een achterlijke trut is dit wijf zoveel mensen hebben zich opgeofferd voor de coronacrisis en nog steeds en zij fucking 0,0.0
0.0,0.0,1269515583135064064,Kans dat het hier komt klein. Kans dat kids elkaar besmetten klein. Kans op presymptomatische verspreiding klein. Kans op datalekken klein. Enz enz enz enz. Leugenachtige hoeren van @rivm kunnen we niet meer vertrouwen.,1.0
0.0,2.0,1269524557070839808,Ik ben er zeker van dat het geen blanken zullen zijn die met een #Coronavaccin voor de dag zullen komen.,2.0
2.0,2.0,1269530901710594048,@Rudpren Howla.. dit filmpje toont exact het probleem.. jullie probleem is dat het over een blanke gaat.. maar dit soort onredelijk geweld is typisch voor de Amerikaanse politie.. vandaar de protesten,2.0
2.0,2.0,1269535355876839424,Nou dit heb ik nergens in de NL media gezien iemand anders wel? Protesten waar je alleen blanke mensen of latinos ziet hebben niks met #GeorgeFloydProtests te maken! Niks! Vind ik. https://t.co/Gtvkv3OpKj,2.0
2.0,2.0,1269539571961823232,Corona verknalt zomerkamp voor kansarme kindjes: Veiligheidsmaatregelen maken het onmogelijk  https://t.co/hdDiM8O8QW via @Nieuwsblad_be,2.0
0.0,0.0,1269540841074425856,Tucker Carlson slaat de spijker op de kop. De enige demonstranten die de #corona-regels mogen overtreden van de westerse overheden zijn die van #BlackLivesMatter. Dit is het grootschalig geïnstitutionaliseerd voortrekken van zwarten ten koste van mensen met een andere huidskleur.,2.0
0.0,2.0,1269555116874641408,Dit moet je lezen...Een veroordeelde zwarte vindt de dood bij politie-optreden. Dit zal bestraft worden. Vele mensen komen op straat geweldloos of gewelddadig.Duizenden blanken worden gruwelijk vermoord. Protesten? Ach deze mensen zijn maar blank..https://t.co/PQO5F6wKZt,2.0
2.0,0.0,1269556607261773824,@PCIMeijer @Spetters599 Ook ik wordt er stront ziek van. Eerst was het heel de dag door in de media Corona en nu is het alleen maar racisme  en hoe slecht wij blanken wel niet zijn. En dan al die deugfiguren die er volledig in meegaan om van te kotsen.In doorslaan is men in Nederland erg goed.,2.0
